ido,keido,symbol,formationAge_ja,group_ja,lithology_ja
40.561749,140.72678,Q33_vas_ap,新生代 第四紀 後期更新世後期,火成岩,デイサイト・流紋岩 大規模火砕流
40.561592,140.726733,Q33_vas_ap,新生代 第四紀 後期更新世後期,火成岩,デイサイト・流紋岩 大規模火砕流
36.21888889,137.53472219999998,O3-D1_va_al,古生代 後期オルドビス紀〜前期デボン紀,火成岩,デイサイト・流紋岩・粗面岩 溶岩・火砕岩
36.218887,137.534729,O3-D1_va_al,古生代 後期オルドビス紀〜前期デボン紀,火成岩,デイサイト・流紋岩・粗面岩 溶岩・火砕岩
40.7025,140.84305559999999,Q2_vis_al,新生代 第四紀 チバニアン期,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
40.577323,140.74418300000002,Q33_vas_ap,新生代 第四紀 後期更新世後期,火成岩,デイサイト・流紋岩 大規模火砕流
40.577703,140.744789,Q33_vas_ap,新生代 第四紀 後期更新世後期,火成岩,デイサイト・流紋岩 大規模火砕流
40.55888889,140.7302778,Q12_vas_ap,新生代 第四紀 更新世 カラブリアン期,火成岩,デイサイト・流紋岩 大規模火砕流
36.22139,137.54222099999998,H_vis_al,新生代 第四紀 完新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
36.22138889,137.54222219999997,H_vis_al,新生代 第四紀 完新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
36.251389,137.563049,O-S_pbg_a,古生代 オルドビス紀〜シルル紀,火成岩,斑れい岩 島弧・大陸
36.251388899999995,137.56305559999998,O-S_pbg_a,古生代 オルドビス紀〜シルル紀,火成岩,斑れい岩 島弧・大陸
40.575,140.7483333,Q33_vas_ap,新生代 第四紀 後期更新世後期,火成岩,デイサイト・流紋岩 大規模火砕流
40.67083333,140.825,Q2_vis_al,新生代 第四紀 チバニアン期,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
43.15433333,142.9086667,Q32-33_std,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
34.00444444,136.09777780000002,N21_pam_a,新生代 新第三紀 中新世 後期ランギアン期〜前期サーラバリアン期,火成岩,花崗岩 塊状 島弧・大陸
40.581866999999995,140.757008,Q33_vas_ap,新生代 第四紀 後期更新世後期,火成岩,デイサイト・流紋岩 大規模火砕流
40.667398999999996,140.825459,Q2_vis_al,新生代 第四紀 チバニアン期,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
40.667483000000004,140.825547,Q2_vis_al,新生代 第四紀 チバニアン期,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
40.581297,140.757586,Q33_vas_ap,新生代 第四紀 後期更新世後期,火成岩,デイサイト・流紋岩 大規模火砕流
40.57916667,140.76055559999998,Q33_vas_ap,新生代 第四紀 後期更新世後期,火成岩,デイサイト・流紋岩 大規模火砕流
36.213612,137.547775,H_vis_al,新生代 第四紀 完新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
36.21361111,137.5477778,H_vis_al,新生代 第四紀 完新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
36.209721,137.546661,H_vis_al,新生代 第四紀 完新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
36.20972222,137.5466667,H_vis_al,新生代 第四紀 完新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
39.41952778,139.8588611,,,,
40.51361111,140.71194440000002,Q1-21_sb,新生代 第四紀 更新世 ジェラシアン期〜前期チバニアン期,堆積岩,汽水成層ないし海成・非海成混合層
40.66055556,140.8291667,Q2_vis_al,新生代 第四紀 チバニアン期,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
40.650728,140.821628,Q12_vbs_al,新生代 第四紀 更新世 カラブリアン期,火成岩,玄武岩 溶岩・火砕岩
40.650748,140.821662,Q12_vbs_al,新生代 第四紀 更新世 カラブリアン期,火成岩,玄武岩 溶岩・火砕岩
40.646303,140.819028,Q12_vbs_al,新生代 第四紀 更新世 カラブリアン期,火成岩,玄武岩 溶岩・火砕岩
40.646099,140.818873,Q12_vbs_al,新生代 第四紀 更新世 カラブリアン期,火成岩,玄武岩 溶岩・火砕岩
40.583833,140.770148,Q12_vbs_al,新生代 第四紀 更新世 カラブリアン期,火成岩,玄武岩 溶岩・火砕岩
40.583496999999994,140.770217,Q12_vbs_al,新生代 第四紀 更新世 カラブリアン期,火成岩,玄武岩 溶岩・火砕岩
40.655149,140.82922299999998,Q2_vis_al,新生代 第四紀 チバニアン期,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
40.655019,140.83011100000002,Q2_vis_al,新生代 第四紀 チバニアン期,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
40.64444444,140.82166669999998,Q12_vbs_al,新生代 第四紀 更新世 カラブリアン期,火成岩,玄武岩 溶岩・火砕岩
40.64833333,140.82555559999997,N2_vas_al,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,デイサイト・流紋岩 溶岩・火砕岩
36.21166667,137.5555556,H_vis_al,新生代 第四紀 完新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
36.211665999999994,137.555557,H_vis_al,新生代 第四紀 完新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
33.475,135.7833333,N1_som,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,堆積岩,海成層 泥岩
40.57916667,140.7722222,Q33_vas_ap,新生代 第四紀 後期更新世後期,火成岩,デイサイト・流紋岩 大規模火砕流
40.708332,140.878616,N1_vas_al,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,火成岩,デイサイト・流紋岩 溶岩・火砕岩
40.70633333,140.87916669999998,N1_vas_al,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,火成岩,デイサイト・流紋岩 溶岩・火砕岩
40.635,140.83333330000002,Q12_vbs_al,新生代 第四紀 更新世 カラブリアン期,火成岩,玄武岩 溶岩・火砕岩
35.59555556,137.16555559999998,C13-J22_soh_J2,古生代 石炭紀 ペンシルバニアン亜紀 後期ミシシッピアン亜紀〜中生代 中期ジュラ紀 バッジョシアン期,付加体,チャート 中期-後期ジュラ紀付加体
36.5206,137.7986,Q32-33_std,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
36.53333333,137.80833330000002,Q33-H_sfd,新生代 第四紀 後期更新世後期〜完新世,堆積岩,扇状地・崖錐堆積物
35.16666667,136.9,Q31_std,新生代 第四紀 後期更新世前期,堆積岩,段丘堆積物
43.61183333,143.3846667,H_sad,新生代 第四紀 完新世,堆積岩,谷底平野・山間盆地・河川・海岸平野堆積物
44.09033333,143.822,J32-K111_vba_ol_Kn,中生代 後期ジュラ紀 キンメリッジアン期〜前期白亜紀 ベリアシアン期,付加体,アルカリ玄武岩・粗面玄武岩 海洋 後期白亜紀前期付加体
33.86361111,136.0783333,H_ssd,新生代 第四紀 完新世,堆積岩,海岸・砂丘堆積物
39.8,140.2333333,N2_vbs_al,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,玄武岩 溶岩・火砕岩
43.06716667,142.94883330000002,Q1-21_sn,新生代 第四紀 更新世 ジェラシアン期〜前期チバニアン期,堆積岩,非海成層
34.15,136.2966667,,,,
43.63,143.4986667,Q12_vas_ap,新生代 第四紀 更新世 カラブリアン期,火成岩,デイサイト・流紋岩 大規模火砕流
37.22722222,138.4005556,Q31_std,新生代 第四紀 後期更新世前期,堆積岩,段丘堆積物
35.854144,137.455803,Q3_vis_al,新生代 第四紀 後期更新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
35.852736,137.456865,Q3_vis_al,新生代 第四紀 後期更新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
35.84972222,137.4605556,Q3_vis_al,新生代 第四紀 後期更新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
35.833579,137.46106699999999,Q3_vis_al,新生代 第四紀 後期更新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
35.833589,137.46116899999998,Q3_vis_al,新生代 第四紀 後期更新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
35.83103057,137.464825,Q3_vis_al,新生代 第四紀 後期更新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
39.21666667,139.9,H_v_ad,新生代 第四紀 完新世,火成岩,火山岩 岩屑なだれ堆積物
35.817608,137.473625,Q3_vis_al,新生代 第四紀 後期更新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
35.817401000000004,137.473738,Q3_vis_al,新生代 第四紀 後期更新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
35.81444444,137.47666669999998,Q3_vis_al,新生代 第四紀 後期更新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
35.845738,137.50043,Q2_vas_al,新生代 第四紀 チバニアン期,火成岩,デイサイト・流紋岩 溶岩・火砕岩
35.845772,137.501122,Q2_vas_al,新生代 第四紀 チバニアン期,火成岩,デイサイト・流紋岩 溶岩・火砕岩
35.8425,137.5036111,J24-K11_soss_J3,中生代 中期ジュラ紀 カロビアン期〜前期白亜紀 バレミアン期,付加体,海成層 砂岩 後期ジュラ紀-前期白亜紀付加体
35.90861111,137.5511111,Q3_vis_al,新生代 第四紀 後期更新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
