x,y,h_z,age
-1925000,15000,-1750,184.8
-1925000,20000,-1750,112.75
-1925000,25000,-1750,0.00585
-1925000,30000,-1750,0.0021
-1925000,40000,-1750,1.287
-1925000,45000,-1750,1.287
-1925000,70000,-1750,0.07035
-1925000,75000,-1750,0.07035
-1925000,80000,-1750,40.849999999999994
-1925000,85000,-1750,40.849999999999994
-1925000,90000,-1750,0.00585
-1925000,95000,-1750,0.00585
-1925000,100000,-1750,0.00585
-1925000,105000,-1750,0.00585
-1925000,110000,-1750,0.00585
-1925000,115000,-1750,0.07035
-1925000,120000,-1750,112.75
-1925000,125000,-1750,112.75
-1925000,130000,-1750,92.05
-1925000,135000,-1750,0.00585
-1925000,140000,-1750,112.75
-1920000,-110000,-1750,13.8
-1920000,-105000,-1750,13.8
-1920000,-95000,-1750,0.00585
-1920000,-90000,-1750,0.07035
-1920000,-85000,-1750,0.07035
-1920000,-80000,-1750,0.07035
-1920000,-75000,-1750,0.07035
-1920000,-70000,-1750,0.07035
-1920000,-65000,-1750,0.07035
-1920000,-60000,-1750,79.95
-1920000,-55000,-1750,120.94999999999999
-1920000,-50000,-1750,120.94999999999999
-1920000,-45000,-1750,0.07035
-1920000,-40000,-1750,0.07035
-1920000,-35000,-1750,0.07035
-1920000,-30000,-1750,0.00585
-1920000,-25000,-1750,0.07035
-1920000,-20000,-1750,1.287
-1920000,-15000,-1750,0.00585
-1920000,-10000,-1750,0.07035
-1920000,-5000,-1750,0.00585
-1920000,0,-1750,107.45
-1920000,5000,-1750,107.45
-1920000,10000,-1750,249.6
-1920000,15000,-1750,184.8
-1920000,20000,-1750,135.0
-1920000,25000,-1750,285.92499999999995
-1920000,30000,-1750,0.00585
-1920000,40000,-1750,1.287
-1920000,45000,-1750,0.0021
-1920000,50000,-1750,0.0021
-1920000,60000,-1750,0.0021
-1920000,65000,-1750,0.00585
-1920000,70000,-1750,0.07035
-1920000,75000,-1750,112.75
-1920000,80000,-1750,0.07035
-1920000,85000,-1750,0.00585
-1920000,90000,-1750,0.00585
-1920000,95000,-1750,0.00585
-1920000,100000,-1750,0.00585
-1920000,105000,-1750,0.00585
-1920000,110000,-1750,0.00585
-1920000,115000,-1750,92.05
-1920000,120000,-1750,112.75
-1920000,125000,-1750,112.75
-1920000,130000,-1750,112.75
-1920000,135000,-1750,112.75
-1920000,140000,-1750,0.00585
-1915000,-105000,-1750,13.8
-1915000,-90000,-1750,0.07035
-1915000,-85000,-1750,0.07035
-1915000,-80000,-1750,0.07035
-1915000,-75000,-1750,0.07035
-1915000,-70000,-1750,0.07035
-1915000,-65000,-1750,0.07035
-1915000,-60000,-1750,0.07035
-1915000,-55000,-1750,0.07035
-1915000,-50000,-1750,0.00585
-1915000,-45000,-1750,0.00585
-1915000,-40000,-1750,0.07035
-1915000,-35000,-1750,0.07035
-1915000,-30000,-1750,0.00585
-1915000,-25000,-1750,0.4515
-1915000,-20000,-1750,1.287
-1915000,-15000,-1750,107.45
-1915000,-10000,-1750,0.00585
-1915000,-5000,-1750,0.4515
-1915000,0,-1750,107.45
-1915000,5000,-1750,107.45
-1915000,10000,-1750,249.6
-1915000,15000,-1750,184.8
-1915000,20000,-1750,112.75
-1915000,25000,-1750,184.8
-1915000,30000,-1750,112.75
-1915000,35000,-1750,0.07035
-1915000,40000,-1750,0.00585
-1915000,45000,-1750,0.00585
-1915000,50000,-1750,0.00585
-1915000,55000,-1750,0.4515
-1915000,60000,-1750,0.4515
-1915000,65000,-1750,0.07035
-1915000,70000,-1750,112.75
-1915000,75000,-1750,0.00585
-1915000,80000,-1750,112.75
-1915000,85000,-1750,199.65
-1915000,90000,-1750,199.65
-1915000,95000,-1750,0.00585
-1915000,100000,-1750,0.07035
-1915000,105000,-1750,0.07035
-1915000,110000,-1750,0.00585
-1915000,115000,-1750,112.75
-1915000,120000,-1750,112.75
-1915000,125000,-1750,112.75
-1915000,130000,-1750,0.00585
-1915000,135000,-1750,0.07035
-1910000,-90000,-1750,0.07035
-1910000,-85000,-1750,0.07035
-1910000,-80000,-1750,0.07035
-1910000,-75000,-1750,0.07035
-1910000,-70000,-1750,0.00585
-1910000,-65000,-1750,0.07035
-1910000,-60000,-1750,0.00585
-1910000,-55000,-1750,0.07035
-1910000,-50000,-1750,79.95
-1910000,-45000,-1750,0.07035
-1910000,-40000,-1750,0.07035
-1910000,-35000,-1750,0.07035
-1910000,-30000,-1750,0.00585
-1910000,-25000,-1750,79.95
-1910000,-20000,-1750,79.95
-1910000,-15000,-1750,79.95
-1910000,-10000,-1750,0.07035
-1910000,-5000,-1750,79.95
-1910000,0,-1750,107.45
-1910000,5000,-1750,107.45
-1910000,10000,-1750,165.7
-1910000,15000,-1750,184.8
-1910000,20000,-1750,184.8
-1910000,25000,-1750,184.8
-1910000,30000,-1750,112.75
-1910000,35000,-1750,0.07035
-1910000,40000,-1750,0.00585
-1910000,45000,-1750,0.00585
-1910000,50000,-1750,0.00585
-1910000,55000,-1750,0.07035
-1910000,60000,-1750,0.07035
-1910000,65000,-1750,0.07035
