ido,keido,symbol,formationAge_ja,group_ja,lithology_ja
32.97868457,129.177308,N1_sns,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,堆積岩,非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
33.16220028,129.1152755,N2_vas_ap,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,デイサイト・流紋岩 大規模火砕流
30.82116375,129.9264584,Q12_vis_al,新生代 第四紀 更新世 カラブリアン期,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
31.65663137,129.6632382,N21_pim_a,新生代 新第三紀 中新世 後期ランギアン期〜前期サーラバリアン期,火成岩,花崗閃緑岩・トーナル岩 塊状 島弧・大陸
33.26885375,129.1318189,Q12_vis_al,新生代 第四紀 更新世 カラブリアン期,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
31.67131081,129.7098983,N21_pim_a,新生代 新第三紀 中新世 後期ランギアン期〜前期サーラバリアン期,火成岩,花崗閃緑岩・トーナル岩 塊状 島弧・大陸
31.73225869,129.741819,K22_soss,中生代 後期白亜紀 カンパニアン期〜マーストリヒチアン期,堆積岩,海成層 砂岩
30.44516444,130.193284,H_vis_al,新生代 第四紀 完新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
30.45955527,130.23921570000002,Q2_vis_al,新生代 第四紀 チバニアン期,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
31.80776663,129.8205811,,,,
31.82232559,129.86738400000002,Pg2_sns,新生代 古第三紀 始新世 ルテシアン期〜プリアボニアン期,堆積岩,非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
31.86862269,129.85267140000002,Pg2_sbs,新生代 古第三紀 始新世 ルテシアン期〜プリアボニアン期,堆積岩,汽水成層ないし海成・非海成混合層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
33.20553374,129.4167615,N2_vis_ap,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,安山岩・玄武岩質安山岩 大規模火砕流
31.836850800000004,129.9142076,N21_pim_a,新生代 新第三紀 中新世 後期ランギアン期〜前期サーラバリアン期,火成岩,花崗閃緑岩・トーナル岩 塊状 島弧・大陸
33.22027996,129.4644966,N2_sns,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,堆積岩,非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
33.26619281,129.4491704,N2_vis_al,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
33.35797985,129.4184515,N2_vba_al,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,アルカリ玄武岩・粗面玄武岩 溶岩・火砕岩
30.26883121,130.44717659999998,N1_pam_a,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,火成岩,花崗岩 塊状 島弧・大陸
30.31559753,130.43320590000002,N1_pam_a,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,火成岩,花崗岩 塊状 島弧・大陸
30.36235028,130.41921570000002,N1_pam_a,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,火成岩,花崗岩 塊状 島弧・大陸
30.78251622,130.292425,H_vbs_al,新生代 第四紀 完新世,火成岩,玄武岩 溶岩・火砕岩
33.14311253,129.5427782,N21_pim_a,新生代 新第三紀 中新世 後期ランギアン期〜前期サーラバリアン期,火成岩,花崗閃緑岩・トーナル岩 塊状 島弧・大陸
33.32682007,129.4816412,N2_vis_al,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
34.10528793,129.2178164,Pg4_sosma,新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期,堆積岩,海成層 砂岩泥岩互層
34.15096535,129.2020929,N21_pam_a,新生代 新第三紀 中新世 後期ランギアン期〜前期サーラバリアン期,火成岩,花崗岩 塊状 島弧・大陸
34.19663008,129.1863463,Pg4_sosma,新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期,堆積岩,海成層 砂岩泥岩互層
30.23626837,130.5069646,Pg14-3_somas_Pg2,新生代 古第三紀 始新世 ヤプレシアン期〜漸新世 ルペリアン期,付加体,砂岩泥岩互層 始新世-前期漸新世付加体
30.28305491,130.493042,N1_pam_a,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,火成岩,花崗岩 塊状 島弧・大陸
30.32982789,130.47910009999998,N1_pam_a,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,火成岩,花崗岩 塊状 島弧・大陸
30.3765873,130.4651388,N1_pam_a,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,火成岩,花崗岩 塊状 島弧・大陸
