x,y,h,z,h_z,t,ido,keido
-808301.9235,563832.2177,492.0,500,-8.0,177.9,39.815625,140.91323899999998
-828036.5268,517381.5244,254.0,500,-246.0,65.0,39.357839,140.766647
-829078.2359999999,508134.0211,342.0,500,-158.0,130.0,39.270358,140.769475
-827664.4074,516459.8876,257.0,500,-243.0,91.0,39.349744,140.772167
-825512.2944,507428.8732,361.0,500,-139.0,64.7,39.268444,140.80975
-828841.8707,506553.1415,453.0,500,-47.0,77.6,39.255942,140.77451100000002
-828607.7954,509639.6937,308.0,500,-192.0,101.0,39.284997,140.772322
-826191.5777,516586.5407,274.0,500,-226.0,43.8,39.352847,140.788181
-827026.8135,513742.097,245.0,500,-255.0,38.7,39.325269,140.783378
-828291.1415,510617.6223,285.0,500,-215.0,50.1,39.294519,140.774294
-847106.3076,486301.6786,428.0,500,-72.0,37.3,39.043156,140.605711
-843688.8284,485867.1384,328.0,500,-172.0,27.3,39.04365,140.643783
-840676.2625,481071.7697,562.0,500,62.0,73.9,39.002942,140.684189
-844785.5065,485350.3854,264.0,500,-236.0,61.3,39.037378000000004,140.632589
-838749.5013,477478.5933,681.0,500,181.0,93.4,38.971986,140.710814
-845812.243,482073.8038,557.0,500,57.0,177.8,39.005475,140.626469
-840033.1204,480131.7085,473.0,500,-27.0,195.1,38.995028000000005,140.692678
-840289.5023,478221.1682,390.0,500,-110.0,134.2,38.976878,140.692833
-845284.3187,481273.4961,568.0,500,68.0,150.4,38.998717,140.633489
-843359.5234,478872.1298,643.0,500,143.0,111.6,38.978885999999996,140.658267
-845289.6045,481281.3302,568.0,500,68.0,101.0,38.998783,140.633419
-851371.1304,480954.0938,871.0,500,371.0,153.2,38.987625,140.56745
-852150.5525,481145.3215,806.0,500,306.0,130.3,38.988364000000004,140.55863100000002
-850253.3698,480821.4313,991.0,500,491.0,110.7,38.987883000000004,140.579875
-850880.6629,480500.4627,937.0,500,437.0,32.3,38.984053,140.573522
-849695.8017,484918.1225,354.0,500,-146.0,76.1,39.026808,140.57955
-849760.473,483015.6763,485.0,500,-15.0,136.5,39.008992,140.581825
-851248.5447,480382.7616,868.0,500,368.0,195.2,38.982464,140.56968600000002
-853195.2629,480226.095,571.0,500,71.0,154.3,38.978396999999994,140.54865800000002
-852411.3444,476556.891,496.0,500,-4.0,157.9,38.945246999999995,140.562983
-849756.2989,483044.8,485.0,500,-15.0,74.6,39.009269,140.581825
-846988.8338,483036.5693,509.0,500,9.0,195.7,39.012883,140.6121
-855916.0803,480027.0749,336.0,500,-164.0,72.8,38.972889,140.519242
-851241.6691,480416.6446,869.0,500,369.0,108.7,38.982789000000004,140.56970800000002
-852020.6362,482286.9817,790.0,500,290.0,68.3,38.999178,140.558258
-849745.2527,483014.0313,487.0,500,-13.0,136.7,39.008996999999994,140.58199399999998
-852581.8217,479582.6568,702.0,500,202.0,209.5,38.973222,140.556372
-853337.0807,478051.8713,486.0,500,-14.0,210.5,38.957941999999996,140.550525
-852587.2409999999,479606.7178,701.0,500,201.0,220.0,38.973439,140.556275
-851750.6075,477996.7715,687.0,500,187.0,231.2,38.959553,140.567942
-854108.7117,478574.1265,419.0,500,-81.0,124.8,38.961775,140.541275
-852918.7221,479493.4305,717.0,500,217.0,163.6,38.971939,140.552831
-852237.8738,480268.8248,759.0,500,259.0,148.4,38.980078000000006,140.559053
-855913.8976,456333.874,257.0,500,-243.0,30.6,38.751975,140.55647199999999
-856646.3882,453594.6547,251.0,500,-249.0,45.0,38.725439,140.552786
-855661.1203,451112.6596,279.0,500,-221.0,44.7,38.703603,140.567381
-858087.8852,452462.5246,300.0,500,-200.0,53.2,38.712942,140.538878
-859453.5668,453034.4968,271.0,500,-229.0,39.0,38.716442,140.523128
-856083.7563,452015.2407,257.0,500,-243.0,79.1,38.711458,140.561375
-855059.4688,450693.4402,323.0,500,-177.0,51.7,38.700497,140.574578
-891315.5447,449046.8691,381.0,500,-119.0,73.4,38.635608000000005,140.183322
-893328.9959,448368.0865,435.0,500,-65.0,73.8,38.626469,140.162575
