x,y,keido,ido,hyoukou
-1955000,-25000,130.49200259999998,31.96211334,111.2
-1955000,-20000,130.4777024,32.00851556,312.8
-1955000,-15000,130.4633818,32.05490475,333.9
-1955000,-10000,130.4490409,32.10128091,313.9
-1955000,-5000,130.4346794,32.14764405,264.2
-1955000,0,130.4202975,32.1939942,247.0
-1955000,25000,130.34807890000002,32.42555025,58.0
-1955000,30000,130.3335731,32.4718226,337.0
-1955000,50000,130.2753415,32.65678286,15.6
-1955000,55000,130.2607313,32.70299068,371.6
-1955000,60000,130.2461001,32.74918564,525.0
-1955000,65000,130.2314479,32.79536773,562.1
-1955000,70000,130.2167745,32.84153696,81.8
-1955000,80000,130.18736429999998,32.93383692,66.0
-1955000,85000,130.17262730000002,32.97996766,122.7
-1955000,90000,130.1578691,33.02608559,33.0
-1955000,95000,130.1430896,33.07219072,19.6
-1955000,105000,130.11346640000002,33.16436262,2.9
-1955000,110000,130.0986226,33.21042941,2.0
-1955000,115000,130.08375729999997,33.25648344,33.0
-1955000,120000,130.0688705,33.30252472,222.0
-1955000,125000,130.0539621,33.34855326,435.7
-1955000,130000,130.03903200000002,33.39456907,159.0
-1955000,135000,130.0240803,33.44057216,3.5
-1950000,-180000,130.9715668,30.53098486,60.9
-1950000,-175000,130.957907,30.57780346,34.0
-1950000,-120000,130.8063815,31.09192733,350.1
-1950000,-115000,130.79249009999998,31.13858611,551.6
-1950000,-110000,130.77857930000002,31.18523166,230.3
-1950000,-70000,130.6665834,31.55792078,58.1
-1950000,-65000,130.6524947,31.60444769,506.4
-1950000,-50000,130.6101088,31.74394973,6.7
-1950000,-45000,130.59593999999998,31.79042422,164.0
-1950000,-40000,130.5817511,31.83688562,310.0
-1950000,-35000,130.5675421,31.88333397,425.0
-1950000,-30000,130.55331280000001,31.92976925,153.8
-1950000,-25000,130.53906329999998,31.97619149,363.1
-1950000,-20000,130.52479350000002,32.0226007,249.3
-1950000,-15000,130.5105034,32.06899689,509.2
-1950000,-10000,130.4961929,32.11538006,511.9
-1950000,-5000,130.481862,32.16175024,133.0
-1950000,0,130.4675106,32.20810743,404.5
-1950000,5000,130.4531387,32.25445164,304.4
-1950000,25000,130.3954453,32.43969892,73.0
-1950000,30000,130.3809702,32.4859784,91.0
-1950000,50000,130.3228621,32.67096732,35.9
-1950000,55000,130.3082828,32.71718235,355.8
-1950000,60000,130.29368259999998,32.76338452,1271.4
-1950000,65000,130.2790613,32.80957385,303.7
-1950000,70000,130.264419,32.85575033,41.4
-1950000,105000,130.1613291,33.17862713,1.8
-1950000,110000,130.1465167,33.22470128,4.0
-1950000,115000,130.1316827,33.27076269,10.5
-1950000,120000,130.1168273,33.31681136,210.7
-1950000,125000,130.1019503,33.36284731,542.3
-1950000,130000,130.0870517,33.40887055,397.6
-1950000,135000,130.07213149999998,33.45488108,346.6
-1945000,-175000,131.0040903,30.59164493,240.2
-1945000,-170000,130.99044080000002,30.6384567,230.0
-1945000,-165000,130.9767723,30.68525511,133.3
-1945000,-120000,130.85289029999998,31.10584169,300.3
-1945000,-115000,130.8390288,31.15250718,342.9
-1945000,-110000,130.8251478,31.19915945,164.6
-1945000,-105000,130.8112472,31.2457985,130.0
-1945000,-100000,130.7973269,31.29242435,54.1
-1945000,-85000,130.7554483,31.4322228,45.2
-1945000,-80000,130.7414493,31.47879596,51.8
-1945000,-75000,130.7274305,31.52535597,258.5
-1945000,-70000,130.7133919,31.57190285,25.2
-1945000,-50000,130.657038,31.75795928,151.4
-1945000,-45000,130.6428995,31.80444067,238.0
-1945000,-40000,130.628741,31.85090899,605.0
-1945000,-35000,130.6145623,31.89736427,385.0
-1945000,-30000,130.60036340000002,31.9438065,474.0
-1945000,-25000,130.5861443,31.990235700000003,223.8
-1945000,-20000,130.57190490000002,32.03665189,249.2
-1945000,-15000,130.5576453,32.08305506,220.8
-1945000,-10000,130.5433653,32.12944524,461.0
-1945000,-5000,130.529065,32.17582244,341.2
-1945000,0,130.5147442,32.22218666,306.8
-1945000,5000,130.5004029,32.26853791,10.0
-1945000,10000,130.4860412,32.31487622,227.0
